=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.29 19:43:08 =~=~=~=~=~=~=~=~=~=~=~=
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
252724,89,-57,-102
252743,107,22,-61
252763,161,113,0
252783,220,226,80
252803,290,314,127,247,135
252823,372,352,140
252843,528,372,275
252863,716,446,566
252883,874,603,814
252903,898,816,880
252923,868,911,753
252943,864,776,597
252963,860,531,418
252983,875,392,209
253003,898,378,238
253023,873,451,415
253043,721,554,376
253063,529,593,73
253083,408,571,-363
253103,403,507,-475,215,394
253123,510,444,-220
253143,562,481,44
253163,551,421,116
253183,500,255,-126
253203,414,122,-461
253223,315,75,-555
253243,257,35,-184
253263,197,16,301
253283,105,7,497
253303,4,-85,357
253323,-168,-108,67
253343,-296,-94,40
253363,-330,-87,235
253383,-317,-78,372
253403,-315,14,387,157,412
253423,-354,120,226
253443,-413,121,-103
253463,-444,86,-357
253483,-403,117,-419
253503,-404,195,-397
253523,-390,265,-254
253543,-389,300,16
253563,-370,144,170
253583,-357,-81,93
253603,-424,-131,-151
253623,-372,-90,-303
253643,-291,90,-328
253663,-304,300,-348
253683,-336,339,-450
253703,-289,227,-523,128,471
253723,-163,49,-332
253743,-30,-31,-151
253763,-14,139,-143
253783,-88,301,-302
253803,-147,208,-302
253823,-166,-6,-198
253843,-273,-147,-215
253863,-332,-242,-340
253883,-261,-203,-318
253903,-168,-72,-4
253923,17,-292,441
253943,151,-795,556
253963,81,-993,182
253983,-28,-707,-192
254003,-79,-316,-272,134,519
254023,1,-183,-40
254043,162,-428,439
254063,285,-731,784
254083,274,-732,832
254103,197,-514,895
254123,156,-404,1103
254143,141,-427,985
254163,26,-430,523
254183,-125,-413,27
254203,-200,-430,-340
254223,-143,-431,-520
254243,43,-407,-333
254263,259,-465,-47
254283,378,-528,8
254303,400,-563,-91,135,580
254323,387,-578,-148
254343,391,-587,-82
254363,386,-597,13
254383,350,-507,141
254403,440,-525,313
254423,476,-508,430
254443,474,-445,501
254463,393,-380,382
254483,183,-327,33
254503,-127,-123,-398
254523,-399,133,-586
254543,-440,174,-436
254563,-442,20,-150
254583,-563,-170,54
254603,-664,-371,124,394,464
254623,-749,-424,20
254643,-815,-298,-128
254663,-867,-96,-254
254683,-855,-12,-422
254703,-826,-14,-606
