=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.11.29 19:25:16 =~=~=~=~=~=~=~=~=~=~=~=
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
27839,15,86,7
27858,28,98,51
27878,34,111,114,605,176
27898,67,126,140
27918,79,125,116
27938,81,113,114
27958,83,96,118
27978,74,80,82
27998,57,76,9
28018,37,80,-28
28038,-13,82,-1
28058,-32,78,13
28078,-18,64,9
28098,14,68,68
28118,-5,71,146
28138,0,61,186
28158,32,47,210
28178,84,12,221,526,157
28198,127,-8,261
28218,169,3,307
28238,181,46,285
28258,137,83,187
28278,52,73,109
28298,25,25,58
28318,-19,3,-2
28338,-42,2,-100
28358,-94,0,-145
28378,-106,-5,-46
28398,-16,-16,70
28418,60,-19,67
28438,50,0,-6
28458,-46,47,-68
28478,-174,147,-66,324,146
28498,-256,198,39
28518,-217,198,189
28538,-134,207,275
28558,-41,270,230
28578,22,282,154
28598,52,229,112
28618,63,174,72
28638,12,157,-2
28658,-93,172,-60
28678,-173,228,-39
28698,-201,261,-4
28718,-167,253,-6
28738,-72,204,-50
28758,2,172,-88
28778,-10,179,-128,272,147
28798,-58,186,-234
28818,-111,160,-348
28838,-141,110,-419
28858,-170,88,-460
28878,-194,113,-518
28898,-199,120,-660
28918,-185,113,-833
28938,-280,101,-980
28958,-340,148,-1059
28978,-279,220,-1196
28998,-12,372,-1524
29018,282,588,-2465
29038,296,600,-4337
29058,205,388,-6141
29078,87,316,-7174,248,169
29098,3,313,-7651
29118,-44,327,-7858
29138,-82,336,-7888
29158,-109,323,-7842
29178,-112,301,-7762
29198,-118,268,-7692
29218,-112,239,-7631
29238,-107,209,-7594
29258,-100,172,-7545
29278,47,234,-7328
29298,73,297,-6720
29318,-231,112,-6325
29338,-206,139,-5809
29358,105,-89,-5282
29378,339,1248,-521,176,225
29398,1388,10365,5438
29418,916,-1830,3482
29438,305,-2223,-3374
29458,147,-976,-5964
29478,44,-322,-6647
29498,-45,-19,-5768
29518,139,280,-4809
29538,683,406,-4253
29558,1124,910,-3564
29578,1192,1400,-2834
29598,-333,867,1365
29618,-1764,-1160,3931
29638,-879,-1491,1482
29658,-29,-726,-1106
29678,316,61,-1868,157,1358
29698,132,442,-612
29718,-208,450,888
29738,-151,0,970
29758,49,-290,94
29778,39,-197,-513
29798,-8,-66,-216
29818,-1,16,340
29838,-3,32,339
29858,3,-40,47
29878,9,-105,-82
29898,-1,-67,31
29918,2,-17,143
29938,6,-20,110
29958,-2,-46,42
29978,-4,-59,35,146,1361
29998,-8,-36,76
30018,-9,-19,91
30038,-3,-32,71
30058,-4,-44,52
30078,-1,-39,68
30098,6,-27,69
30118,4,-29,62
30138,0,-31,56
30158,0,-34,64
30178,-1,-29,58
30198,-5,-32,69
30218,-8,-35,70
30238,-3,-30,69
30258,-7,-31,82
30278,-8,-31,79,147,1364
30298,-6,-33,77
30318,0,-26,76
30338,1,-26,72
30357,1,-21,69
30378,-7,-23,74
30397,0,-25,78
30417,0,-27,76
30437,-2,-26,74
30457,-6,-26,69
30477,-6,-27,74
30497,-3,-31,71
30517,0,-32,68
30537,2,-23,60
30557,-2,-29,67
30577,-4,-20,68,169,1360
30597,-1,-18,71
30617,-2,-19,66
30637,0,-17,71
30657,3,-18,65
30677,7,-19,70
30697,4,-19,67
30717,-1,-17,72
30737,-3,-15,66
30757,-3,-14,72
30777,-4,-23,76
30797,-6,-18,69
30817,-3,-21,65
30837,-4,-15,64
30857,-4,-15,64
30877,-6,-14,61,225,1350
30897,-2,-14,65
30917,-5,-14,62
30937,0,-13,68
30957,0,-11,71
30977,0,-12,73
30997,1,-14,72
31017,-1,-10,62
31037,1,-11,55
31057,4,-13,62
31077,0,-12,63
31097,-1,-17,66
31117,4,-18,62
31137,3,-15,59
31157,11,-16,67
31177,5,-13,77,1358,93
31197,2,-17,77
31217,0,-10,75
31237,-3,-6,67
31257,-1,-5,69
31277,-3,-8,69
31297,0,-11,77
31317,2,-15,69
31337,-1,-15,69
31357,0,-11,63
31377,2,-14,68
31397,-1,-14,64
31417,1,-15,72
31437,-2,-12,69
31457,-1,-11,72
31477,1,-7,66,1361,8
31497,0,-4,69
31517,0,-6,66
31537,0,-7,66
31557,-4,-10,69
31577,-2,-7,75
31597,0,-10,69
31617,0,-6,71
31637,0,-5,73
31657,-3,-7,65
31677,0,-8,75
31697,-1,-6,65
31717,-1,-4,75
31737,-2,0,75
31757,-4,-1,74
31777,-4,-7,76,1364,7
31797,-5,-7,74
31817,-1,-8,65
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
45413,33,-23,58
45432,103,-14,40
45452,127,-16,18
45472,73,-17,10
45492,15,-7,0
45512,-47,22,-41
45532,-118,48,-104
45552,-150,62,-133
45572,-115,28,-143,124,117
45592,-34,-27,-175
45612,35,-38,-175
45632,54,-41,-102
45652,30,-73,-28
45672,-6,-81,26
45692,-43,-53,117
45712,-16,-45,236
45732,73,-52,306
45752,100,-60,306
45772,100,-37,292
45792,96,-25,239
45812,112,-14,204
45832,97,5,138
45852,53,-6,59
45872,12,-34,-25,145,82
45892,-35,-44,-109
45912,-94,-54,-175
45932,-128,6,-173
45952,-164,79,-106
45972,-168,102,-79
45992,-129,73,-163
46012,-103,51,-243
46032,-141,48,-224
46052,-189,51,-186
46072,-238,45,-187
46092,-221,38,-193
46112,-135,39,-173
46132,-43,19,-116
46152,22,5,-113
46172,60,0,-171,140,89
46192,90,19,-180
46212,106,6,-154
46232,114,-13,-161
46252,90,-5,-182
46272,36,43,-160
46292,-67,113,-98
46312,-150,181,-34
46332,-199,209,-16
46352,-244,206,-48
46372,-244,162,-42
46392,-196,120,-24
46412,-146,44,-39
46432,-88,11,-81
46452,-79,16,-63
46472,-90,37,32,141,111
46492,-71,42,77
46512,-38,40,78
46532,-2,23,148
46552,82,5,227
46572,143,-45,195
46592,155,-88,64
46612,111,-98,-74
46632,17,-94,-191
46652,-63,-113,-313
46672,-79,-120,-466
46692,-109,-130,-617
46712,-133,-128,-809
46732,-127,-108,-1071
46752,-36,-79,-1388
46772,49,-29,-1792,136,125
46792,247,105,-2330
46812,456,311,-3142
46832,702,727,-4786
46852,487,511,-6536
46872,258,380,-7393
46892,96,330,-7806
46912,3,317,-7959
46932,-47,305,-7981
46952,-66,290,-7932
46972,-59,278,-7856
46992,-46,258,-7779
47012,-46,219,-7758
47032,-9,204,-7660
47052,49,182,-7558
47072,106,165,-7451,117,222
47092,214,101,-7610
47112,215,374,-7400
47132,196,113,-6809
47152,266,-187,-6178
47172,338,106,-5132
47192,-5618,-1999,3680
47212,-4581,3724,4530
47232,4345,-158,1943
47252,3232,-238,-4343
47272,1853,-40,-6313
47292,1036,188,-6996
47312,665,258,-7173
47332,755,115,-6228
47352,1528,145,-3030
47372,1769,667,1443,82,1242
47392,1547,-1424,3990
47412,34,-2345,1559
47432,-294,-1123,-380
47452,238,387,-559
47472,347,1058,-15
47492,-203,281,333
47512,-348,-385,256
47532,-162,-238,55
47552,-90,131,36
47572,-105,238,78
47592,-129,11,81
47612,-167,-80,81
47632,-141,33,103
47652,-101,102,70
47672,-128,22,48,89,1313
47692,-154,-13,83
47712,-122,34,101
47732,-118,46,65
47752,-131,17,53
47772,-122,20,78
47792,-115,36,77
47812,-115,28,56
47832,-117,26,64
47852,-114,30,75
47872,-109,33,67
47892,-109,31,67
47912,-110,24,79
47932,-101,27,83
47952,-100,25,76
47972,-103,23,65,111,1313
47992,-92,22,66
48012,-88,24,70
48032,-92,21,75
48052,-91,28,80
48072,-86,23,76
48092,-88,20,82
48112,-89,20,74
48132,-91,16,72
48152,-94,14,75
48172,-88,24,63
48192,-89,30,63
48211,-85,29,66
48231,-79,15,62
48251,-80,20,63
48272,-81,15,69,125,1312
48291,-80,21,73
48311,-71,14,77
48331,-71,17,74
48351,-71,12,78
48371,-70,12,74
48391,-73,14,76
48411,-72,16,72
48431,-69,19,62
48451,-71,25,64
48471,-70,20,60
48491,-66,21,63
48511,-66,18,68
48531,-67,23,66
48551,-69,17,74
48571,-61,15,66,222,1302
48591,-61,16,65
48611,-55,11,67
48631,-63,14,61
48651,-59,16,72
48671,-67,14,78
48691,-64,17,72
48711,-59,12,74
48731,-59,14,70
48751,-59,17,78
48771,-56,17,80
48791,-59,14,77
48811,-52,16,77
48831,-50,9,72
48851,-51,11,72
48871,-45,8,75,1242,426
48891,-47,9,76
48911,-50,14,78
48931,-43,10,84
48951,-37,10,82
48971,-38,12,81
48991,-40,16,77
49011,-47,8,69
49031,-45,11,64
49051,-41,11,66
49071,-44,10,65
49091,-41,11,63
49111,-37,10,62
49131,-35,11,60
49151,-29,4,62
49171,-38,2,72,1313,28
49191,-41,4,70
49211,-38,10,72
49231,-34,12,82
49251,-37,3,82
49271,-39,5,83
49291,-39,10,80
49311,-38,10,74
49331,-39,5,71
49351,-36,5,71
49371,-38,5,72
49391,-38,5,73
---------------
System Time (ms),axWorld (int16),ayWorld (int16),azWorld (int16),axyStdDevL,axyStdDevR
56249,-107,11,12
56269,-153,36,52
56289,-175,54,60
56309,-199,56,5
56329,-159,81,-28
56349,-97,57,-60
56369,-35,39,-97,117,73
56389,35,54,-149
56409,61,70,-138
56429,4,50,-58
56449,-63,6,-46
56469,-104,-3,-115
56489,-164,11,-134
56509,-197,-2,-99
56529,-142,-68,-99
56549,-41,-126,-124
56569,63,-112,-122
56589,102,-100,-61
56609,130,-77,-38
56629,151,-44,-51
56649,133,1,-55
56669,81,34,-23,106,86
56689,7,49,-34
56709,-92,56,-87
56729,-205,88,-75
56749,-247,124,12
56769,-216,133,90
56789,-139,134,104
56809,-106,155,88
56829,-87,165,67
56849,-49,123,34
56869,22,49,-21
56889,88,8,-56
56909,94,-10,-50
56929,30,13,13
56949,-4,40,91
56969,6,37,91,103,101
56989,33,12,34
57009,63,-2,12
57029,93,-18,-17
57049,108,-26,-79
57069,84,-29,-127
57088,66,-35,-177
57108,69,-51,-207
57128,32,-66,-211
57148,-26,-62,-211
57168,-86,-27,-188
57188,-121,6,-146
57208,-146,41,-55
57228,-102,73,40
57248,-15,68,107
57268,79,43,163,93,109
57288,147,50,234
57308,173,48,247
57328,127,39,182
57348,68,4,103
57368,19,-8,41
57388,-31,0,54
57408,-18,-2,70
57428,14,-13,35
57448,-33,16,3
57468,-112,61,-54
57488,-178,42,-154
57508,-185,11,-244
57528,-199,13,-252
57548,-196,18,-223
57568,-159,-18,-274,77,121
57588,-158,-76,-353
57608,-141,-92,-409
57628,-147,-115,-437
57648,-143,-109,-485
57668,-164,-59,-497
57688,-203,-5,-442
57708,-211,-23,-458
57728,-196,-35,-568
57748,-222,-66,-686
57768,-236,-103,-754
57788,-230,-153,-850
57808,-205,-209,-1020
57828,-152,-230,-1202
57848,-95,-180,-1370
57868,77,-98,-1599,73,142
57888,470,33,-2173
57908,650,85,-3316
57928,620,302,-5327
57948,388,161,-6829
57968,204,217,-7490
57988,83,259,-7784
58008,9,282,-7886
58028,-22,294,-7876
58048,-31,285,-7809
58068,-17,272,-7720
58088,10,264,-7646
58108,16,232,-7624
58128,47,216,-7587
58148,108,178,-7572
58168,186,181,-7624,86,213
58188,142,358,-7469
58208,138,144,-6923
58228,228,-17,-6281
58248,391,-8,-5816
58268,-5264,-953,3239
58288,-4866,3278,4326
58308,4825,49,995
58328,3175,237,-5124
58348,1755,308,-6751
58368,922,350,-7245
58388,516,307,-7303
58408,353,-2,-6049
58428,710,-237,-513
58448,345,-885,3223
58468,-805,-1291,2120,101,1208
58488,-252,-682,83
58508,398,213,-744
58528,293,529,-264
58548,-212,-102,308
58568,-139,-332,316
58588,65,18,100
58608,0,110,-22
58628,-30,-32,48
58648,-16,-60,124
58668,-16,13,119
58688,-3,20,38
58708,-2,-19,51
